case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,1.7902623815836317e-05,50,2.3645885770646635e-15,-1.4418731461597838e-15,-8.039601162019856e-12,4.902368696943265e-12
fn167,1.7902623815836317e-05,51,2.2988417204312267e-15,-3.3364438428429012e-15,-7.816061849466171e-12,1.1343909065665865e-11
fn167,1.7902623815836317e-05,52,1.346099512274467e-15,-4.33139432522053e-15,-4.576738341733188e-12,1.4726740705749803e-11
fn167,1.7902623815836317e-05,53,1.2131636698426283e-15,-4.764536514737019e-15,-4.124756477464936e-12,1.6199424150105865e-11
fn167,1.7902623815836317e-05,54,4.746761521039685e-16,-4.6699778692745144e-15,-1.613898917153493e-12,1.587792475553335e-11
fn167,1.7902623815836317e-05,55,-2.2771502908001265e-16,-5.524939627763103e-15,7.742310988720431e-13,1.8784794734394552e-11
fn167,1.7902623815836317e-05,56,-3.0043906863036453e-15,-1.2528580650832251e-14,1.0214928333432394e-11,4.259717421282965e-11
fn167,1.7902623815836317e-05,57,-4.663842681518339e-15,-1.4360253439399166e-14,1.5857065117162353e-11,4.8824861693957166e-11
fn167,1.7902623815836317e-05,58,-8.09418222699772e-15,-1.656855467466541e-14,2.7520219571792246e-11,5.63330858938624e-11
fn167,1.7902623815836317e-05,59,-1.1276450112856862e-14,-1.6680523244536236e-14,3.833993038371333e-11,5.67137790314232e-11
fn167,0.021330123770672976,0,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,1,4.7295797623953305e-17,3.796436948757748e-17,-1.6080571192144123e-13,-1.2907885625776341e-13
fn167,0.021330123770672976,2,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,3,-3.4670814854463604e-16,-1.4518511309748289e-15,1.1788077050517626e-12,4.9362938453144184e-12
fn167,0.021330123770672976,4,-2.1936708960512678e-16,-1.2746679907965296e-15,7.458481046574311e-13,4.333871168708201e-12
fn167,0.021330123770672976,5,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,6,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,7,2.5302584639155364e-17,-4.3367170749525435e-16,-8.602878777312824e-14,1.4744838054838647e-12
fn167,0.021330123770672976,8,-1.0562603529176647e-16,-5.066713034819857e-16,3.59128519992006e-13,1.7226824318387513e-12
fn167,0.021330123770672976,9,7.03945287886029e-17,4.538099189761788e-16,-2.393413978812499e-13,-1.542953724519008e-12
fn167,0.021330123770672976,10,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,11,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,12,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,13,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,14,2.3998600493027595e-16,-1.1723859785982329e-16,-8.159524167629382e-13,3.9861123272339917e-13
fn167,0.021330123770672976,15,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,16,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,17,6.234254701757646e-16,2.112835645811355e-16,-2.1196465985975995e-12,-7.183641195758607e-13
fn167,0.021330123770672976,18,4.741732004814233e-16,2.302907853101177e-16,-1.612188881636839e-12,-7.829886700544001e-13
